,telephone,email,description,website,facebook,linkedin,twitter,exd_link,exd_name,exd_id
0,886-2-2785-2729,apac@a10networks.com,A10 Networks (NYSE：ATEN) 以超大規模為內部部署、多雲端和邊緣雲端環境提供安全的應用程式服務。我們的使命是讓服務供應商和企業能夠交付安全、可用和高效的關鍵業務應用程式，以實現多雲端轉型和 5G 整備。我們提供更好的業務成果，支援投資保護、新的商業模式，並幫助未來的基礎設施，使我們的客戶能夠提供最安全可用的數位體驗。A10 Networks 於 2004 年成立，總部位於加州聖荷西 (San Jose)，為全球客戶提供服務。如需詳細資訊，請造訪 www.a10networks.com 並在 @A10Networks 關注我們。,https://twitter.com/a10networks,https://www.facebook.com/a10networksTW,https://www.linkedin.com/company/a10networks/,https://twitter.com/a10networks,https://cybersec.ithome.com.tw/2024/exhibition-page/2054,A10 Networks,C307
1,04-2452-4234,service@aaasec.com.tw,"三甲科技是來自中部的資安技術檢測公司，「三甲」取名於「AAA Security」，代表著資訊安全當中的三大面向，認證(Authentication)、授權(Authorization)、紀錄(Accounting)。也意味著期望透過「A級專業」提供「A級服務」，來達到「A級安全」。
三甲科技以資訊安全專業服務作為營運主軸，希望能提供給客戶更安全的保護，核心技術可分成五大項，分別為弱點掃描、滲透測試、郵件社交、資安健診及APP檢測，內部工程師皆具備相當豐富的服務經驗及多項資安相關專業能力。目前主要的服務對象擴及學校單位、政府機關、科技產業、製造產業、房產集團和金融企業等機構。
產品類型
Security Awareness Training
Insider Threat Management
Penetration Testing
Vulnerability Assessment
Consultation Service
Mobile App Security
Application Security Testing
Red Team
DDoS Protection",https://www.facebook.com/AAAsec/,https://www.facebook.com/AAAsec/,,,https://cybersec.ithome.com.tw/2024/exhibition-page/2226,三甲科技,T37
2,,sales@abpsecurite.com,資料建置中,https://www.linkedin.com/company/abpsecurite-pte-ltd/,https://www.facebook.com/abpsecurite/,https://www.linkedin.com/company/abpsecurite-pte-ltd/,,https://cybersec.ithome.com.tw/2024/exhibition-page/2079,ABPSecurite,P302
3,02-89791866,Servicep1@acsiacad.com,"安碁學苑股份有限公司 (ACAD，簡稱「安碁學苑」) 係由安碁資訊投資的子公司，提供企業全方位資訊安全專業訓練及實務技術課程。
配合國家資通安全發展政策，以及因應各產業資安人才的需求，開辦以實務應用為主軸的專業資安課程，培養各行各業所需之資安技術和管理人才，厚植台灣整體資訊安全軟實力。",https://www.acsiacad.com/index,,,,https://cybersec.ithome.com.tw/2024/exhibition-page/2249,ACAD 安碁學苑股份有限公司,CT08
4,,,"鼎峰亞太集團 (ACE PACIFIC GROUP) 的總部位於新加坡，我們致力於提供最具前瞻性的世界級資訊安全領導者解決方案，以專業技術服務、代理產品整合規劃運用及協同代理商夥伴行銷為企業經營的核心。多年來的耕耘與努力，不論在產品之引進，解決方案應用規劃及一站式的精緻服務上皆深獲客戶的肯定及認同。集團總部位於新加坡，旗下分公司已成功擴展到台灣、馬來西亞、澳洲、香港、韓國、印度尼西亞、泰國、菲律賓等多個國家/地區，以尊重且珍惜各國家/地區的商業合作夥伴為經營理念，這也讓我們成為在全球各地擁有許多長期合作之夥伴的誠信代理商。
產品類型
Third-Party Risk Management
Threat Intelligence",https://ace-pac.com/tw/,,,,https://cybersec.ithome.com.tw/2024/exhibition-page/2000,鼎峰亞太,P216
5,886-2-8979-6286,marketing@acercsi.com,"安碁資訊股份有限公司（Acer Cyber Security Inc.,ACSI ,簡稱「安碁資訊」）是國內首家以資安監控委外服務商 (MSSP) 上櫃的資安服務公司。在資訊安全領域深耕多年，建構完整的 SOC 平台與技術，也是國內營運能量最大、客戶數最多、事件涵蓋範圍最廣、事件處理經驗豐富的 SOC 服務廠商。
安碁資訊擁有國內首家 SOC 自建數位鑑識中心，通過 ISO 17025 實驗室認證，讓資安異常行為事前透過 SOC 服務的監控，結合鑑識服務進行事後應變處理，提供給客戶完整的資訊安全解決方案。",https://www.linkedin.com/company/%E5%AE%89%E7%A2%81%E8%B3%87%E8%A8%8A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/,https://www.facebook.com/ACSIxeDCxACAD?mibextid=LQQJ4d,https://www.linkedin.com/company/%E5%AE%89%E7%A2%81%E8%B3%87%E8%A8%8A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/,,https://cybersec.ithome.com.tw/2024/exhibition-page/2240,ACSI 安碁資訊,T27、T28
6,+886-2-26960888,aeb.service@aceraeb.com,"宏碁資訊服務股份有限公司 （簡稱：AEB 宏碁資訊，股票代號：6811） 成立於 2012 年，是宏碁旗下在資訊服務產業與雲端趨勢下的重要策略布局，長期專注於 B2B 的 IT 應用服務，協助企業營運由地端走向雲端；以「最懂地端的雲端公司，成就智能企業推手」為定位。深耕台灣產業多年，跨足公部門、金融、電信、製造、醫療、教育文化、高科技，服務超過上千家的企業客戶，並結盟全球數百家頂尖技術夥伴，以大數據運用、人工智慧等新科技的實際落地，提供雲端與數位應用整體解決方案，產品服務包括雲端及大量軟體服務、應用開發及其他軟體服務和加值產品。
產品類型
Security Consulting",https://www.linkedin.com/company/aceraeb/,https://www.facebook.com/AcerAEB,https://www.linkedin.com/company/aceraeb/,,https://cybersec.ithome.com.tw/2024/exhibition-page/1945,宏碁資訊,C111
7,,,資料建置中,,,,,https://cybersec.ithome.com.tw/2024/exhibition-page/2268,ADI 數位發展部 數位產業署,
8,+886-2-2771-5523,service@ainetwork-training.com,"AI Network Training 全智網科技 ─ 網路及資安課程專家
網路，資安，人工智慧為主的國際培訓顧問機構 ─ AIN 所提供的教育訓練事業以精品店的形式經營，專注於資安與網路的領域。除了優質的講師和相關軟硬體設備外，AIN 也重視學員上課的體驗，提供精緻的午餐和下午茶點、研磨咖啡機和茶包等服務。此外，AIN 致力於搭建講師和學員之間的橋樑，提供最精巧的學習環境，回饋講師高於同業平均水平，投資不計成本地延攬最優秀的講師並創造最高品質的學習體驗給學員。
AIN 注重每個服務和體驗環節，提供課前提醒和預習資訊，成立 Line 班級群組，建立學員、講師、行政和業務之間的連結，為學員提供不間斷的顧客服務。此外，AIN 嚴格控制班級學員人數，實機操作課程每班不超過 16 人，分組演練課程每班不超過 20 人，保證每位學員獲得充分的注意力和個別化的指導。
相較於快速獲利的短線經營，AIN 採取長期主義和賺慢錢的心態來永續經營教育這個重要的事業。AIN 相信，優質的教育訓練應從最核心的優質講師授課開始，再往外擴至優質的教材內容、實機練習、分組演練、行政流程和軟硬體設備。期望以精品店的經營形式，提供最高品質的資安和網路課程給台灣 ICT 產業。",https://twitter.com/ainetwork_,https://www.facebook.com/ainetworktw,,https://twitter.com/ainetwork_,https://cybersec.ithome.com.tw/2024/exhibition-page/2248,AIN 全智網科技,CT03
9,(02)2500-6210,info@aisol.com.tw,"艾索科技提供各種研發工具解決方案，幫助企業完成客戶的要求。除了銷售各種工具軟體，也提供軟體專業培訓課程、工具導入服務等。
我們銷售的軟體工具包含：Ansys CAE 工程模擬軟體、SOX 功能安全與網路安全管理軟體、Cybellum 網路安全漏洞管理軟體、Simpleware CT, MRI 影像處理與模型生成軟體、大數據處理與 AI 分析工具、PBS HPC系統排程管理軟體等。
在資安領域，我們具備 SGS 認證網路安全專家，協助企業評估與導入工具軟體。
產品類型
Risk Assessment Visibility
Vulnerability Management
Red Team
Security Automation
Incident Response
Supply Chain Security
Network Security Policy Management
Third-Party Risk Management
Risk Management
Vulnerability Assessment",http://www.aisol.com.tw/,,,,https://cybersec.ithome.com.tw/2024/exhibition-page/2080,AISOL 艾索科技,P108
